ladnm,Num_MSOAs,Avg_IMD_2010,Avg_IMD_Change,Total_Net_Cascade,Avg_Cascade_Ratio,Total_Inflow,Total_Outflow
Tower Hamlets,32,39.96,-11.57,9018.0,0.89,37678.0,38591.0
Hackney,28,43.04,-10.02,6945.0,1.06,24491.0,25975.0
Lambeth,35,31.06,-5.25,5284.0,4.07,39688.0,43084.0
Newham,37,42.43,-12.62,5010.0,0.72,24420.0,29981.0
Islington,23,35.98,-8.29,4941.0,1.79,28688.0,29705.0
Haringey,36,35.83,-8.26,3105.0,0.86,27316.0,29974.0
Greenwich,33,31.96,-8.04,3014.0,1.37,19225.0,18755.0
Brent,34,30.21,-5.02,3011.0,1.34,29173.0,33161.0
Hammersmith and Fulham,25,27.29,-4.93,2814.0,2.1,25093.0,25684.0
Waltham Forest,28,35.07,-10.01,2634.0,1.27,23556.0,22904.0
Lewisham,36,30.98,-4.29,2031.0,2.5,24557.0,25235.0
Barking and Dagenham,22,34.52,-1.69,1961.0,1.65,13920.0,13293.0
Croydon,44,22.48,-0.62,246.0,2.12,26181.0,24602.0
Hillingdon,32,19.68,-1.91,48.0,2.74,23087.0,19213.0
Southwark,33,30.25,-3.89,-530.0,2.69,32664.0,35306.0
Sutton,24,15.37,-1.51,-612.0,2.48,14089.0,11544.0
City of London,1,11.6,3.2,-761.0,0.04,1296.0,1043.0
Ealing,39,24.09,-2.24,-763.0,1.45,27378.0,28917.0
Hounslow,28,22.05,-0.71,-1214.0,9.24,21960.0,21786.0
Havering,30,16.68,-0.3,-1388.0,2.07,17074.0,12636.0
Kensington and Chelsea,21,23.63,-1.34,-1538.0,1.88,16824.0,16386.0
Kingston upon Thames,20,11.49,-0.2,-1607.0,1.14,14088.0,12164.0
Enfield,36,25.73,-0.66,-1755.0,0.85,21879.0,21836.0
Bexley,28,16.61,-0.52,-2282.0,1.23,14580.0,12025.0
Bromley,39,14.77,-0.85,-2328.0,2.34,23019.0,19397.0
Westminster,24,23.71,-3.98,-2755.0,0.66,25591.0,26987.0
Camden,28,24.78,-4.95,-2923.0,1.37,24086.0,25862.0
Harrow,30,15.38,-0.58,-3923.0,1.02,19348.0,18356.0
Wandsworth,37,22.2,-5.3,-4122.0,2.8,42442.0,42409.0
Richmond upon Thames,23,9.95,-0.85,-4475.0,0.51,16695.0,14676.0
Merton,25,14.4,-0.11,-5273.0,0.86,18797.0,18148.0
Redbridge,31,20.48,-3.12,-5399.0,0.77,18572.0,18234.0
Barnet,41,16.55,-0.52,-6414.0,1.18,29047.0,28633.0
