label,year,group,n,n_label,pct_group,pct_london,pp_diff,ratio,OR,fisher_p,bh_q
super-gentrification,2011,inflow-driven,56,9,16.1,9.6,6.5,1.68,1.89,0.09950000942297738,0.1995161603740854
super-gentrification,2011,frame-sensitive,57,6,10.5,9.6,1.0,1.1,1.12,0.8154667850327915,0.931962040037476
super-gentrification,2011,outflow-external,19,4,21.1,9.6,11.5,2.2,2.59,0.0997580801870427,0.1995161603740854
super-gentrification,2011,outflow-internal,81,18,22.2,9.6,12.6,2.32,3.1,0.00048580866160330015,0.0019432346464132006
super-gentrification,2021,inflow-driven,13,2,15.4,9.6,5.8,1.61,1.73,0.3579985042465937,0.5640760294154422
super-gentrification,2021,frame-sensitive,14,1,7.1,9.6,-2.4,0.75,0.72,1.0,1.0
super-gentrification,2021,outflow-external,78,5,6.4,9.6,-3.2,0.67,0.63,0.42305702206158163,0.5640760294154422
super-gentrification,2021,outflow-internal,90,29,32.2,9.6,22.6,3.37,6.05,1.54614056861867e-10,1.236912454894936e-09
mainstream gentrification,2011,inflow-driven,56,5,8.9,4.0,5.0,2.25,2.57,0.06538592348762773,0.2653375908279625
mainstream gentrification,2011,frame-sensitive,57,4,7.0,4.0,3.0,1.77,1.92,0.27798899633094265,0.741303990215847
mainstream gentrification,2011,outflow-external,19,0,0.0,4.0,-4.0,0.0,0.0,1.0,1.0
mainstream gentrification,2011,outflow-internal,81,3,3.7,4.0,-0.3,0.93,0.92,1.0,1.0
mainstream gentrification,2021,inflow-driven,13,0,0.0,4.0,-4.0,0.0,0.0,1.0,1.0
mainstream gentrification,2021,frame-sensitive,14,0,0.0,4.0,-4.0,0.0,0.0,1.0,1.0
mainstream gentrification,2021,outflow-external,78,0,0.0,4.0,-4.0,0.0,0.0,0.06633439770699062,0.2653375908279625
mainstream gentrification,2021,outflow-internal,90,2,2.2,4.0,-1.7,0.56,0.53,0.570603414211641,1.0
marginal gentrification,2011,inflow-driven,56,5,8.9,10.3,-1.4,0.87,0.85,1.0,1.0
marginal gentrification,2011,frame-sensitive,57,4,7.0,10.3,-3.3,0.68,0.64,0.505500496659564,0.9484147404771955
marginal gentrification,2011,outflow-external,19,1,5.3,10.3,-5.0,0.51,0.48,0.7113110553578966,0.9484147404771955
marginal gentrification,2011,outflow-internal,81,6,7.4,10.3,-2.9,0.72,0.68,0.4491158243776568,0.9484147404771955
marginal gentrification,2021,inflow-driven,13,2,15.4,10.3,5.1,1.5,1.6,0.6348327017637246,0.9484147404771955
marginal gentrification,2021,frame-sensitive,14,1,7.1,10.3,-3.1,0.69,0.67,1.0,1.0
marginal gentrification,2021,outflow-external,78,2,2.6,10.3,-7.7,0.25,0.21,0.017798895877873342,0.14239116702298674
marginal gentrification,2021,outflow-internal,90,7,7.8,10.3,-2.5,0.76,0.72,0.583559452900916,0.9484147404771955
modal gentrification (strict),2011,inflow-driven,56,2,3.6,4.2,-0.6,0.86,0.84,1.0,1.0
modal gentrification (strict),2011,frame-sensitive,57,1,1.8,4.2,-2.4,0.42,0.4,0.5074193159390787,0.8938993751256159
modal gentrification (strict),2011,outflow-external,19,1,5.3,4.2,1.1,1.26,1.28,0.55868710945351,0.8938993751256159
modal gentrification (strict),2011,outflow-internal,81,12,14.8,4.2,10.6,3.55,5.23,4.897087969258173e-05,0.00039176703754065386
modal gentrification (strict),2021,inflow-driven,13,0,0.0,4.2,-4.2,0.0,0.0,1.0,1.0
modal gentrification (strict),2021,frame-sensitive,14,0,0.0,4.2,-4.2,0.0,0.0,1.0,1.0
modal gentrification (strict),2021,outflow-external,78,1,1.3,4.2,-2.9,0.31,0.28,0.2455244789722342,0.6547319439259579
modal gentrification (strict),2021,outflow-internal,90,12,13.3,4.2,9.2,3.19,4.58,0.00014526879732732612,0.0005810751893093045
any gentrification LSOA (loose),2011,inflow-driven,56,18,32.1,21.1,11.1,1.52,1.85,0.042971779778243645,0.11459141274198305
any gentrification LSOA (loose),2011,frame-sensitive,57,12,21.1,21.1,-0.0,1.0,1.0,1.0,1.0
any gentrification LSOA (loose),2011,outflow-external,19,5,26.3,21.1,5.2,1.25,1.35,0.5716750152678698,0.762233353690493
any gentrification LSOA (loose),2011,outflow-internal,81,23,28.4,21.1,7.3,1.35,1.55,0.11640102193672344,0.23280204387344688
any gentrification LSOA (loose),2021,inflow-driven,13,4,30.8,21.1,9.7,1.46,1.68,0.4898329286013892,0.762233353690493
any gentrification LSOA (loose),2021,frame-sensitive,14,2,14.3,21.1,-6.8,0.68,0.62,0.7459491911658738,0.8525133613324272
any gentrification LSOA (loose),2021,outflow-external,78,7,9.0,21.1,-12.1,0.43,0.35,0.005487102852937067,0.02194841141174827
any gentrification LSOA (loose),2021,outflow-internal,90,33,36.7,21.1,15.6,1.74,2.39,0.0003527946946049794,0.0028223575568398353
