label,year,group,n,n_label,pct_group,ci95_lo,ci95_hi,pct_london,pp_diff,pct_rest,pp_vs_rest,pp_vs_rest_lo,pp_vs_rest_hi,ratio,OR,fisher_p,bh_q,flag_col
super-gentrification,2011,inflow-driven,56,9,16.1,8.7,27.8,9.6,6.5,9.2,6.9,-0.8,18.7,1.68,1.89,0.09950000942297738,0.1995161603740854,any_SupGen
super-gentrification,2011,frame-sensitive,57,6,10.5,4.9,21.1,9.6,1.0,9.5,1.0,-5.0,11.7,1.1,1.12,0.8154667850327915,0.931962040037476,any_SupGen
super-gentrification,2011,outflow-external,19,4,21.1,8.5,43.3,9.6,11.5,9.3,11.7,-1.0,34.1,2.2,2.59,0.0997580801870427,0.1995161603740854,any_SupGen
super-gentrification,2011,outflow-internal,81,18,22.2,14.5,32.4,9.6,12.6,8.4,13.8,5.9,24.1,2.32,3.1,0.00048580866160330015,0.0019432346464132006,any_SupGen
super-gentrification,2021,inflow-driven,13,2,15.4,4.3,42.2,9.6,5.8,9.5,5.9,-5.3,32.8,1.61,1.73,0.3579985042465937,0.5640760294154422,any_SupGen
super-gentrification,2021,frame-sensitive,14,1,7.1,1.3,31.5,9.6,-2.4,9.6,-2.5,-8.7,21.9,0.75,0.72,1.0,1.0,any_SupGen
super-gentrification,2021,outflow-external,78,5,6.4,2.8,14.1,9.6,-3.2,9.8,-3.4,-7.6,4.5,0.67,0.63,0.42305702206158163,0.5640760294154422,any_SupGen
super-gentrification,2021,outflow-internal,90,29,32.2,23.5,42.4,9.6,22.6,7.3,24.9,16.0,35.3,3.37,6.05,1.54614056861867e-10,1.236912454894936e-09,any_SupGen
mainstream gentrification,2011,inflow-driven,56,5,8.9,3.9,19.3,4.0,5.0,3.7,5.3,0.0,15.6,2.25,2.57,0.06538592348762773,0.2653375908279625,any_MainGen
mainstream gentrification,2011,frame-sensitive,57,4,7.0,2.8,16.7,4.0,3.0,3.8,3.2,-1.3,13.0,1.77,1.92,0.27798899633094265,0.741303990215847,any_MainGen
mainstream gentrification,2011,outflow-external,19,0,0.0,0.0,16.8,4.0,-4.0,4.0,-4.0,-5.5,12.8,0.0,0.0,1.0,1.0,any_MainGen
mainstream gentrification,2011,outflow-internal,81,3,3.7,1.3,10.3,4.0,-0.3,4.0,-0.3,-3.1,6.4,0.93,0.92,1.0,1.0,any_MainGen
