msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_National,IMD_Pctile_Change,Phase2_Extreme,Dom_A_11,CDS_A_11,Typ_A_11,Dom_B_11,CDS_B_11,Typ_B_11,Dom_C_11,CDS_C_11,Typ_C_11,switch_A2B_11,switch_B2C_11,switch_A2C_11,Dom_A_21,CDS_A_21,Typ_A_21,Dom_B_21,CDS_B_21,Typ_B_21,Dom_C_21,CDS_C_21,Typ_C_21,switch_A2B_21,switch_B2C_21,switch_A2C_21
E02000001,City of London,9,8,-0.1668362156663275,False,0.5599173553719008,0.9373789541639768,Cascade-led,0.5582491582491582,0.9586830213040671,Cascade-led,0.4995644599303135,0.9728813559322034,Symmetric,False,True,True,0.4452316076294278,0.9235027679919476,Counter-led,0.44438614900314793,0.9592350276799195,Counter-led,0.4743233865371269,0.9726628417144786,Counter-led,False,False,False
E02000002,Barking and Dagenham,1,1,0.0,False,0.5909631391200951,0.8616803278688525,Cascade-led,0.5875299760191847,0.8545081967213115,Cascade-led,0.530511811023622,0.8773747841105354,Cascade-led,False,False,False,0.53125,0.8544726301735648,Cascade-led,0.5293185419968305,0.842456608811749,Cascade-led,0.4290254237288136,0.8888888888888888,Counter-led,False,True,True
E02000003,Barking and Dagenham,5,4,-0.1068158697863682,False,0.4603174603174603,0.9402985074626866,Counter-led,0.4685483870967742,0.8813077469793887,Counter-led,0.445645263827082,0.9040229885057471,Counter-led,False,False,False,0.4159631619339984,0.9517896274653032,Counter-led,0.4030612244897959,0.8590211833455077,Counter-led,0.3516057585825027,0.9034517258629314,Counter-led,False,False,False
E02000004,Barking and Dagenham,6,4,-0.1495422177009155,True,0.3839150227617602,0.937411095305832,Counter-led,0.3905996758508914,0.8776671408250356,Counter-led,0.3745454545454545,0.9055982436882547,Counter-led,False,False,False,0.3338129496402878,0.9391891891891893,Counter-led,0.35735735735735735,0.9,Counter-led,0.3193877551020408,0.9297912713472486,Counter-led,False,False,False
E02000005,Barking and Dagenham,4,3,-0.103763987792472,False,0.4589235127478753,0.8944256756756757,Counter-led,0.4601941747572815,0.8699324324324325,Counter-led,0.4058956916099773,0.8957345971563981,Counter-led,False,False,False,0.4239543726235741,0.8900169204737732,Counter-led,0.4191866527632951,0.811336717428088,Counter-led,0.3523107836570663,0.87004662004662,Counter-led,False,False,False
E02000007,Barking and Dagenham,2,2,-0.0671414038657171,False,0.5503062117235346,0.7931991672449688,Cascade-led,0.5213581599123768,0.6335877862595419,Lateral,0.4741379310344827,0.7073170731707317,Lateral,True,False,True,0.436308926780341,0.819227608874281,Counter-led,0.412484700122399,0.6713229252259655,Lateral,0.3553459119496855,0.7607655502392344,Lateral,True,False,True
E02000008,Barking and Dagenham,3,2,-0.1200406917599186,False,0.4707581227436823,0.8491722869405273,Counter-led,0.48383838383838385,0.6069895769466584,Lateral,0.4112215909090909,0.6871644704734017,Lateral,True,False,True,0.3895297249334516,0.8609625668449198,Counter-led,0.40936374549819926,0.6363636363636364,Lateral,0.3188811188811188,0.7502623294858342,Lateral,True,False,True
E02000009,Barking and Dagenham,4,3,-0.288911495422177,False,0.5099085365853658,0.8961748633879781,Symmetric,0.5105716523101018,0.8722677595628415,Symmetric,0.4895635673624288,0.8942307692307693,Symmetric,False,False,False,0.4305435720448662,0.8793626707132018,Counter-led,0.4322409211691763,0.8566009104704098,Counter-led,0.378839590443686,0.9029275808936826,Counter-led,False,False,False
E02000010,Barking and Dagenham,3,2,-0.1414038657171922,False,0.4406280667320902,0.8498748957464554,Counter-led,0.43646408839779005,0.603836530442035,Lateral,0.3956043956043956,0.6781842818428184,Lateral,True,False,True,0.4355029585798816,0.8596134282807731,Counter-led,0.4473684210526316,0.6571719226856562,Lateral,0.3649373881932021,0.768384879725086,Lateral,True,False,True
E02000011,Barking and Dagenham,5,4,-0.1169888097660223,True,0.3303670745272525,0.9563829787234044,Counter-led,0.33567251461988307,0.9095744680851063,Counter-led,0.3108108108108108,0.9288702928870293,Counter-led,False,False,False,0.4314516129032258,0.8996372430471584,Counter-led,0.4465753424657534,0.8827085852478839,Counter-led,0.3743937924345296,0.9140070921985816,Counter-led,False,False,False
E02000012,Barking and Dagenham,7,5,-0.096642929806714,False,0.4385499557913351,0.9440734557595992,Counter-led,0.4368932038834951,0.9457429048414023,Counter-led,0.3893499308437068,0.956982131039047,Counter-led,False,False,False,0.4894795127353267,0.9280575539568344,Symmetric,0.49169435215946844,0.9280575539568345,Symmetric,0.4103343465045592,0.9494949494949495,Counter-led,False,True,True
E02000013,Barking and Dagenham,2,2,-0.1230925737538148,False,0.4353348729792148,0.7780772686433064,Lateral,0.4157814871016692,0.5920934411500449,Lateral,0.3635346756152125,0.6632047477744807,Lateral,False,False,False,0.515451174289246,0.7915851272015656,Symmetric,0.5243328100470958,0.6232876712328768,Lateral,0.3825242718446602,0.7279151943462897,Lateral,True,False,True
E02000014,Barking and Dagenham,2,2,-0.1393692777212614,False,0.4709931170108161,0.79453125,Counter-led,0.44503311258278144,0.58984375,Lateral,0.395985401459854,0.6761258482418261,Lateral,True,False,True,0.3892694063926941,0.8126159554730983,Counter-led,0.3858858858858859,0.6178107606679035,Lateral,0.3262081784386617,0.7231182795698925,Lateral,True,False,True
E02000015,Barking and Dagenham,1,1,-0.0488301119023397,False,0.5257452574525745,0.8744075829383886,Cascade-led,0.5237659963436929,0.8641390205371248,Cascade-led,0.4669117647058823,0.8877284595300261,Counter-led,False,True,True,0.5147679324894515,0.830607476635514,Symmetric,0.5134370579915134,0.8259345794392523,Symmetric,0.4150763358778626,0.8755221386800334,Counter-led,False,True,True
E02000016,Barking and Dagenham,2,2,-0.0447609359104781,False,0.4562926224426534,0.8125944584382871,Counter-led,0.4617543859649123,0.7178841309823678,Lateral,0.461923290717065,0.7626112759643917,Counter-led,True,True,False,0.4809437386569873,0.8314889336016097,Symmetric,0.4715558601782042,0.7339034205231388,Lateral,0.4417808219178082,0.7944034201321415,Counter-led,True,True,True
E02000017,Barking and Dagenham,5,4,-0.1546286876907426,False,0.4537554314090627,0.9526907155529272,Counter-led,0.4648511716276124,0.9337670017740982,Counter-led,0.4378349410503751,0.9433771486349848,Counter-led,False,False,False,0.4771615008156606,0.9540856031128404,Counter-led,0.5008605851979346,0.9042801556420234,Symmetric,0.4414694894146949,0.9288606130711394,Counter-led,True,True,False
E02000018,Barking and Dagenham,2,2,-0.1302136317395727,False,0.4417836498761354,0.7838187702265372,Counter-led,0.4421272158498436,0.6207119741100323,Lateral,0.3969404186795491,0.6794310722100656,Lateral,True,False,True,0.4292878635907723,0.8239669421487603,Counter-led,0.40396530359355637,0.6669421487603305,Lateral,0.334916864608076,0.7581032412965186,Lateral,True,False,True
