msoa11cd,ladnm,Ring,Wealth_Decile_National,Typ_A_11,Typ_C_11,Casc_Inflow_Share_11,Ext_Arm_Share_11,leaf_11,Typ_A_21,Typ_C_21,Casc_Inflow_Share_21,Ext_Arm_Share_21,leaf_21,Genuine_Persistent
E02000001,City of London,Inner,8,Cascade-led,Symmetric,0.023539668700959,0.2839285714285714,,Counter-led,Counter-led,0.0197512801755669,0.3044776119402985,,False
E02000002,Barking and Dagenham,Outer,1,Cascade-led,Cascade-led,1.0,0.0,inflow-driven,Cascade-led,Counter-led,1.0,0.0,,False
E02000003,Barking and Dagenham,Outer,4,Counter-led,Counter-led,0.4222539229671897,0.0,,Counter-led,Counter-led,0.4125,0.0,,False
E02000004,Barking and Dagenham,Outer,4,Counter-led,Counter-led,0.6084142394822006,0.0,,Counter-led,Counter-led,0.610223642172524,0.0,,False
E02000005,Barking and Dagenham,Outer,3,Counter-led,Counter-led,0.4897579143389199,0.0,,Counter-led,Counter-led,0.6136363636363636,0.0,,False
E02000007,Barking and Dagenham,Outer,2,Cascade-led,Lateral,0.7983471074380165,0.0,,Counter-led,Lateral,0.8144104803493449,0.0,,False
E02000008,Barking and Dagenham,Outer,2,Counter-led,Lateral,0.7754749568221071,0.0,,Counter-led,Lateral,0.8436123348017621,0.0,,False
E02000009,Barking and Dagenham,Outer,3,Symmetric,Symmetric,0.5057766367137355,0.0,,Counter-led,Counter-led,0.5356037151702786,0.0,,False
E02000010,Barking and Dagenham,Outer,2,Counter-led,Lateral,0.7525252525252525,0.0,,Counter-led,Lateral,0.8088235294117647,0.0,,False
E02000011,Barking and Dagenham,Outer,4,Counter-led,Counter-led,0.2869565217391304,0.0,,Counter-led,Counter-led,0.2924281984334204,0.0,,False
E02000012,Barking and Dagenham,Outer,5,Counter-led,Counter-led,0.1740674955595026,0.0,,Symmetric,Counter-led,0.1936685288640595,0.0,,False
E02000013,Barking and Dagenham,Outer,2,Lateral,Lateral,0.7784615384615384,0.0,,Symmetric,Lateral,0.7819548872180451,0.0,,False
E02000014,Barking and Dagenham,Outer,2,Counter-led,Lateral,0.7557603686635944,0.0,,Counter-led,Lateral,0.6837606837606838,0.0,,False
E02000015,Barking and Dagenham,Outer,1,Cascade-led,Counter-led,1.0,0.0,,Symmetric,Counter-led,1.0,0.0,,False
E02000016,Barking and Dagenham,Outer,2,Counter-led,Counter-led,0.7484957882069796,0.0,,Symmetric,Counter-led,0.7272727272727273,0.0,,False
E02000017,Barking and Dagenham,Outer,4,Counter-led,Counter-led,0.2056303549571603,0.0,,Counter-led,Counter-led,0.2796005706134094,0.0,,False
E02000018,Barking and Dagenham,Outer,2,Counter-led,Lateral,0.7545638945233266,0.0,,Counter-led,Lateral,0.6945107398568019,0.0,,False
E02000019,Barking and Dagenham,Outer,2,Counter-led,Lateral,0.6491228070175439,0.0,,Counter-led,Lateral,0.8325123152709359,0.0,,False
E02000020,Barking and Dagenham,Outer,3,Symmetric,Counter-led,0.4044117647058823,0.0,,Counter-led,Counter-led,0.4642857142857143,0.0,,False
E02000021,Barking and Dagenham,Outer,3,Counter-led,Counter-led,0.3740219092331768,0.0,,Counter-led,Counter-led,0.4444444444444444,0.0,,False
E02000022,Barking and Dagenham,Outer,1,Symmetric,Symmetric,1.0,0.0,,Counter-led,Counter-led,1.0,0.0,,False
E02000023,Barking and Dagenham,Outer,1,Counter-led,Counter-led,1.0,0.0,,Symmetric,Counter-led,1.0,0.0,,False
E02000024,Barnet,Outer,9,Counter-led,Symmetric,0.0036991368680641,0.42326732673267325,,Counter-led,Cascade-led,0.001019367991845,0.5122448979591837,outflow: external-majority,False
E02000025,Barnet,Outer,6,Lateral,Lateral,0.5641025641025641,0.0,,Lateral,Lateral,0.5676328502415459,0.0,,False
E02000026,Barnet,Outer,9,Counter-led,Symmetric,0.0,0.4193011647254576,,Counter-led,Cascade-led,0.0017421602787456,0.581151832460733,outflow: external-majority,False
E02000027,Barnet,Outer,5,Symmetric,Counter-led,0.7957166392092258,0.0,,Cascade-led,Counter-led,0.8022388059701493,0.0,,False
E02000028,Barnet,Outer,7,Counter-led,Symmetric,0.2454873646209386,0.4354066985645933,,Cascade-led,Cascade-led,0.1593673965936739,0.46599131693198265,outflow: internal-majority,False
E02000029,Barnet,Outer,7,Counter-led,Symmetric,0.1715039577836411,0.40445859872611467,,Lateral,Cascade-led,0.1460541813898704,0.5627586206896552,outflow: external-majority,False
