msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Delta_Net_Cascade,Delta_CFI_Churn,Delta_CFI_Rate,Delta_Pct_Inflow_Wealthier,Delta_Net_Counter,Delta_Counter_Churn,Delta_Counter_Rate,Delta_Pct_Outflow_Wealthier,Cascade_Dominance_11,Cross_Decile_Share_11,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_11,Sign_Concordance_21,Delta_Cascade_Dominance,Delta_Cross_Decile_Share
E02000001,City of London,9,8,10.7001903992737,14.720484223119485,877.0,713.0,0.8921668362156663,0.7253306205493387,-0.1668362156663275,4.020293823845785,30.0,783.0,692,857,1549,813.0,15.164622336991608,-753.0,4.335260115606936,28.0,789.0,1120.0,867.0,1987.0,817.0,11.118268746854554,-761.0,2.5,24.0,615.0,639.0,9.528728211749517,-591.0,2.8004667444574096,8.0,1010.0,1018.0,4.066431806743835,-1002.0,0.922722029988466,-525.0,141.0,666.0,-8.0,4.0,-4.046353590137054,-1.8352601156069364,-411.0,379.0,-5.462296405005682,-1.8777447144689436,0.5599173553719008,0.9373789541639768,0.4452316076294278,0.9235027679919476,concordant,concordant,-0.11468574774247298,-0.013876186172029126
E02000002,Barking and Dagenham,1,1,43.42144398081181,34.76755983195555,83.0,83.0,0.0844354018311292,0.0844354018311292,0.0,-8.653884148856257,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,340.0,0.0,402.0,347.0,749.0,340.0,0.0,340.0,84.5771144278607,344.0,0.0,344.0,0.0,344.0,87.0886075949367,300.0,0.0,300.0,0.0,300.0,86.45533141210375,308.0,308.0,0.0,-157.0,-157.0,0.0,-0.9650542468380792,-44.0,-44.0,0.0,-0.6332761828329581,0.5909631391200951,0.8616803278688525,0.53125,0.8544726301735648,concordant,concordant,-0.05971313912009513,-0.007207697695287729
E02000003,Barking and Dagenham,5,4,25.643614588352413,25.149725932835818,459.0,354.0,0.4669379450661241,0.3601220752797558,-0.1068158697863682,-0.4938886555165958,229.0,380.0,738,669,1407,609.0,61.84790334044065,-151.0,31.029810298102984,210.0,332.0,695.0,674.0,1369.0,542.0,50.927684441197954,-122.0,30.215827338129497,244.0,470.0,714.0,81.50675195451315,-226.0,36.47234678624813,308.0,453.0,761.0,101.91672753834916,-145.0,45.6973293768546,-59.0,243.0,302.0,29.0,-67.0,-10.920218899242698,-0.8139829599734867,81.0,47.0,20.409975583836015,9.224982590606466,0.4603174603174603,0.9402985074626866,0.41596316193399846,0.9517896274653032,concordant,concordant,-0.04435429838346183,0.01149112000261654
E02000004,Barking and Dagenham,6,5,22.60185641216435,23.560044369645045,547.0,400.0,0.5564598168870803,0.4069175991861648,-0.1495422177009155,0.9581879574806962,120.0,133.0,447,256,703,253.0,22.7027027027027,-13.0,26.845637583892614,105.0,127.0,437.0,303.0,740.0,232.0,18.02027027027027,-22.0,24.02745995423341,111.0,295.0,406.0,46.578947368421055,-184.0,43.359375,164.0,299.0,463.0,66.26486486486486,-135.0,54.12541254125413,12.0,136.0,124.0,-9.0,-21.0,-4.682432432432432,-2.8181776296592034,49.0,57.0,19.685917496443807,10.766037541254128,0.38391502276176026,0.9374110953058321,0.3338129496402878,0.9391891891891891,concordant,concordant,-0.05010207312147247,0.0017780938833570348
E02000005,Barking and Dagenham,4,3,32.39406328077552,30.212965379205887,300.0,198.0,0.3051881993896236,0.2014242115971515,-0.103763987792472,-2.181097901569633,212.0,274.0,661,523,1184,486.0,49.060810810810814,-62.0,32.07261724659607,248.0,198.0,668.0,514.0,1182.0,446.0,41.54314720812183,50.0,37.12574850299401,178.0,395.0,573.0,59.383445945945944,-217.0,34.03441682600382,268.0,338.0,606.0,76.63620981387479,-70.0,52.14007782101168,117.0,317.0,200.0,112.0,-40.0,-7.517663602688984,5.05313125639794,147.0,33.0,17.25276386792884,18.10566099500786,0.45892351274787535,0.8944256756756757,0.42395437262357416,0.8900169204737732,concordant,divergent,-0.03496914012430119,-0.004408755201902426
E02000007,Barking and Dagenham,2,1,40.31009679672392,36.007463265728475,129.0,63.0,0.1312309257375381,0.0640895218718209,-0.0671414038657171,-4.302633530995443,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,362.0,73.0,607.0,610.0,1217.0,435.0,21.71405094494659,289.0,59.637561779242176,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,425.0,137.0,562.0,47.8430566967954,288.0,69.67213114754098,384.0,384.0,0.0,-110.0,-194.0,-19.306073968308095,1.8847527904781316,98.0,48.0,8.270537612825933,5.788283597631725,0.5503062117235346,0.7931991672449688,0.436308926780341,0.819227608874281,concordant,concordant,-0.11399728494319356,0.026028441629312282
E02000008,Barking and Dagenham,3,1,35.556605736018675,34.4495850024426,210.0,92.0,0.2136317395727365,0.0935910478128179,-0.1200406917599186,-1.1070207335760711,343.0,309.0,867,764,1631,652.0,64.98283261802575,34.0,39.561707035755475,272.0,167.0,728.0,581.0,1309.0,439.0,34.701298701298704,105.0,37.362637362637365,343.0,390.0,733.0,82.01716738197425,-47.0,44.89528795811518,339.0,349.0,688.0,90.38273491214667,-10.0,58.34767641996558,498.0,498.0,0.0,71.0,-213.0,-30.28153391672705,-2.1990696731181103,37.0,-45.0,8.365567530172427,13.452388461850397,0.4707581227436823,0.8491722869405273,0.3895297249334516,0.8609625668449198,divergent,divergent,-0.08122839781023067,0.01179027990439252
E02000009,Barking and Dagenham,4,1,30.95492824538416,36.33654626808835,341.0,57.0,0.3468972533062054,0.0579857578840284,-0.288911495422177,5.381618022704188,284.0,385.0,795,669,1464,669.0,74.68579234972678,-101.0,35.72327044025157,204.0,295.0,691.0,627.0,1318.0,499.0,45.66009104704097,-91.0,29.52243125904486,221.0,422.0,643.0,63.70355191256831,-201.0,33.03437967115097,248.0,412.0,660.0,77.52352048558421,-164.0,39.55342902711323,495.0,495.0,0.0,10.0,-170.0,-29.02570130268581,-6.200839181206707,37.0,17.0,13.819968573015906,6.5190493559622595,0.5099085365853658,0.8961748633879781,0.43054357204486626,0.8793626707132018,concordant,concordant,-0.07936496454049957,-0.016812192674776294
E02000010,Barking and Dagenham,3,1,35.01250658502612,34.49335914640853,228.0,89.0,0.2319430315361139,0.0905391658189216,-0.1414038657171922,-0.5191474386175869,213.0,236.0,632,567,1199,449.0,41.924937447873226,-23.0,33.70253164556962,203.0,165.0,501.0,482.0,983.0,368.0,34.074262461851475,38.0,40.5189620758483,258.0,312.0,570.0,67.13594662218516,-54.0,45.5026455026455,232.0,245.0,477.0,57.82299084435402,-13.0,48.13278008298755,320.0,320.0,0.0,61.0,-81.0,-7.850674986021751,6.816430430278679,41.0,-93.0,-9.312955777831142,2.6301345803420517,0.44062806673209026,0.8498748957464554,0.43550295857988164,0.8596134282807731,concordant,divergent,-0.005125108152208624,0.009738532534317779
E02000011,Barking and Dagenham,5,4,25.69644999353483,25.713968791598877,455.0,340.0,0.4628687690742624,0.34587995930824,-0.1169888097660223,0.0175187980640423,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,79.0,242.0,404.0,423.0,827.0,321.0,23.117291414752117,-163.0,19.554455445544555,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,305.0,423.0,43.518742442563486,-187.0,27.89598108747045,-117.0,103.0,220.0,8.0,24.0,7.434312691347861,7.297646107023155,83.0,-179.0,-33.477002238287575,-11.071155062764294,0.3303670745272525,0.9563829787234043,0.4314516129032258,0.8996372430471584,concordant,concordant,0.10108453837597331,-0.056745735676245856
