Origin_Decile,1,2,3,4,5,6,7,8,9,10
1,27733,15838,11192,8630,5710,5967,4863,3731,3283,1617
2,16251,21064,12368,10155,7649,7172,5236,4163,3453,2039
3,11004,11714,18509,10631,9529,8612,6141,5330,3607,2721
4,7762,9451,10209,15800,8818,8797,6699,5954,4363,2947
5,4973,6737,8421,8808,18568,10835,8392,7234,5693,3883
6,4777,5707,7659,8331,10631,17519,9262,8009,7006,4382
7,3668,4430,5271,6047,8045,8568,16279,8166,8196,4577
8,2746,3227,4078,4887,6490,7919,7830,16327,9050,7051
9,2058,2406,2866,3443,4914,5965,7412,8605,16401,8808
10,1014,1475,1616,1889,2478,3171,3512,5732,8200,18146
