msoa21cd,canonical_msoa11,relation
E02000001,E02000001,unchanged
E02000002,E02000002,unchanged
E02000003,E02000003,unchanged
E02000004,E02000004,unchanged
E02000005,E02000005,unchanged
E02000007,E02000007,unchanged
E02000008,E02000008,unchanged
E02000009,E02000009,unchanged
E02000010,E02000010,unchanged
E02000011,E02000011,unchanged
E02000012,E02000012,unchanged
E02000013,E02000013,unchanged
E02000014,E02000014,unchanged
E02000015,E02000015,unchanged
E02000016,E02000016,unchanged
E02000017,E02000017,unchanged
E02000018,E02000018,unchanged
E02000019,E02000019,unchanged
E02000020,E02000020,unchanged
E02000021,E02000021,unchanged
E02000022,E02000022,unchanged
E02000023,E02000023,unchanged
E02000024,E02000024,unchanged
E02000025,E02000025,unchanged
E02000026,E02000026,unchanged
E02000027,E02000027,unchanged
E02000028,E02000028,unchanged
E02000029,E02000029,unchanged
E02000030,E02000030,unchanged
E02000031,E02000031,unchanged
E02000032,E02000032,unchanged
E02000033,E02000033,unchanged
E02000034,E02000034,unchanged
E02000035,E02000035,unchanged
E02000036,E02000036,unchanged
E02000037,E02000037,unchanged
E02000038,E02000038,unchanged
E02000039,E02000039,unchanged
E02000040,E02000040,unchanged
E02000041,E02000041,unchanged
E02000042,E02000042,unchanged
E02000043,E02000043,unchanged
E02000044,E02000044,unchanged
E02000045,E02000045,unchanged
E02000046,E02000046,unchanged
E02000047,E02000047,unchanged
E02000048,E02000048,unchanged
E02000049,E02000049,unchanged
E02000050,E02000050,unchanged
E02000051,E02000051,unchanged
E02000052,E02000052,unchanged
E02000054,E02000054,unchanged
E02000055,E02000055,unchanged
E02000056,E02000056,unchanged
E02000057,E02000057,unchanged
E02000058,E02000058,unchanged
E02000059,E02000059,unchanged
E02000060,E02000060,unchanged
E02000061,E02000061,unchanged
E02000062,E02000062,unchanged
E02000063,E02000063,unchanged
E02000064,E02000064,unchanged
E02000065,E02000065,unchanged
E02000066,E02000066,unchanged
E02000067,E02000067,unchanged
E02000068,E02000068,unchanged
E02000069,E02000069,unchanged
E02000070,E02000070,unchanged
E02000071,E02000071,unchanged
E02000072,E02000072,unchanged
E02000073,E02000073,unchanged
E02000074,E02000074,unchanged
E02000075,E02000075,unchanged
E02000077,E02000077,unchanged
E02000078,E02000078,unchanged
E02000079,E02000079,unchanged
E02000080,E02000080,unchanged
E02000081,E02000081,unchanged
E02000082,E02000082,unchanged
E02000083,E02000083,unchanged
E02000084,E02000084,unchanged
E02000085,E02000085,unchanged
E02000086,E02000086,unchanged
E02000087,E02000087,unchanged
E02000088,E02000088,unchanged
E02000089,E02000089,unchanged
E02000090,E02000090,unchanged
E02000091,E02000091,unchanged
E02000092,E02000092,unchanged
E02000093,E02000093,unchanged
E02000094,E02000094,unchanged
E02000095,E02000095,unchanged
E02000096,E02000096,unchanged
E02000097,E02000097,unchanged
E02000098,E02000098,unchanged
E02000099,E02000099,unchanged
E02000100,E02000100,unchanged
E02000101,E02000101,unchanged
E02000102,E02000102,unchanged
E02000103,E02000103,unchanged
E02000104,E02000104,unchanged
E02000105,E02000105,unchanged
E02000106,E02000106,unchanged
E02000107,E02000107,unchanged
E02000108,E02000108,unchanged
E02000110,E02000110,unchanged
E02000111,E02000111,unchanged
E02000112,E02000112,unchanged
E02000113,E02000113,unchanged
E02000114,E02000114,unchanged
E02000115,E02000115,unchanged
E02000116,E02000116,unchanged
E02000117,E02000117,unchanged
E02000118,E02000118,unchanged
E02000119,E02000119,unchanged
E02000120,E02000120,unchanged
E02000121,E02000121,unchanged
E02000122,E02000122,unchanged
E02000123,E02000123,unchanged
E02000124,E02000124,unchanged
E02000125,E02000125,unchanged
E02000126,E02000126,unchanged
E02000127,E02000127,unchanged
E02000128,E02000128,unchanged
E02000130,E02000130,unchanged
E02000131,E02000131,unchanged
E02000132,E02000132,unchanged
E02000133,E02000133,unchanged
E02000134,E02000134,unchanged
E02000135,E02000135,unchanged
E02000136,E02000136,unchanged
E02000137,E02000137,unchanged
E02000138,E02000138,unchanged
E02000139,E02000139,unchanged
E02000140,E02000140,unchanged
E02000141,E02000141,unchanged
E02000142,E02000142,unchanged
E02000144,E02000144,unchanged
E02000145,E02000145,unchanged
E02000146,E02000146,unchanged
E02000147,E02000147,unchanged
E02000148,E02000148,unchanged
E02000149,E02000149,unchanged
E02000150,E02000150,unchanged
E02000151,E02000151,unchanged
E02000152,E02000152,unchanged
E02000153,E02000153,unchanged
E02000154,E02000154,unchanged
E02000155,E02000155,unchanged
E02000156,E02000156,unchanged
E02000157,E02000157,unchanged
E02000158,E02000158,unchanged
E02000159,E02000159,unchanged
E02000160,E02000160,unchanged
E02000161,E02000161,unchanged
E02000162,E02000162,unchanged
E02000163,E02000163,unchanged
E02000165,E02000165,unchanged
E02000166,E02000166,unchanged
E02000167,E02000167,unchanged
E02000168,E02000168,unchanged
E02000169,E02000169,unchanged
E02000170,E02000170,unchanged
E02000171,E02000171,unchanged
E02000172,E02000172,unchanged
E02000173,E02000173,unchanged
E02000174,E02000174,unchanged
E02000175,E02000175,unchanged
E02000176,E02000176,unchanged
