msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21
E02000001,City of London,9,8,11.443637992281129,14.720484223119485,22953.266707292303,20424.482727680574,0.7066457332458687,0.6218634370868522,-0.08478229615901645,3.2768462308383555,30.0,782.0,692,857,1549,812.0,15.14525500322789,-752.0,4.335260115606936,27.0,787.0,1296.0,1043.0,2339.0,814.0,9.084651560495939,-760.0,2.083333333333333,-525.0,141.0,666.0,24.0,614.0,638.0,9.51323434473854,-590.0,2.8004667444574096,8.0,1010.0,1018.0,3.4544677212483967,-1002.0,0.7670182166826461
E02000002,Barking and Dagenham,1,1,43.52500151646564,34.76755983195555,4212.200840222253,6525.908524190269,0.12967800136143873,0.19869408489192153,0.0690160835304828,-8.757441684510091,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,340.0,0.0,420.0,365.0,785.0,340.0,0.0,340.0,80.95238095238095,308.0,308.0,0.0,344.0,0.0,344.0,0.0,344.0,87.0886075949367,300.0,0.0,300.0,0.0,300.0,82.1917808219178
E02000003,Barking and Dagenham,5,4,25.729166589552243,25.149725932835818,10574.18125,10928.623414179105,0.32553972199987685,0.33274337517291147,0.007203653173034619,-0.5794406567164252,229.0,398.0,738,669,1407,627.0,64.77754086709311,-169.0,31.029810298102984,212.0,339.0,766.0,745.0,1511.0,551.0,47.56320317670417,-127.0,27.676240208877285,-59.0,243.0,302.0,244.0,480.0,724.0,83.2409381663113,-236.0,36.47234678624813,308.0,456.0,764.0,92.95036399735275,-148.0,41.34228187919463
E02000004,Barking and Dagenham,6,5,22.633639193696453,23.560044369645045,12552.853733170135,12471.416462668298,0.3864556903260309,0.37971673555804103,-0.006738954767989858,0.9264051759485916,118.0,133.0,447,256,703,251.0,22.324324324324323,-15.0,26.39821029082774,105.0,127.0,456.0,322.0,778.0,232.0,17.140102827763496,-22.0,23.026315789473685,12.0,136.0,124.0,111.0,293.0,404.0,46.26315789473684,-182.0,43.359375,164.0,299.0,463.0,63.02827763496144,-135.0,50.931677018633536
E02000005,Barking and Dagenham,4,3,32.295791974467164,30.212965379205887,7377.581629341123,8340.793140755166,0.2271283058106374,0.25395180674568163,0.026823500935044237,-2.0828265952612774,205.0,274.0,661,523,1184,479.0,47.44087837837838,-69.0,31.01361573373676,246.0,197.0,731.0,577.0,1308.0,443.0,37.05045871559633,49.0,33.65253077975376,117.0,317.0,200.0,172.0,395.0,567.0,57.38175675675676,-223.0,32.88718929254302,260.0,338.0,598.0,67.18654434250764,-78.0,45.06065857885615
E02000007,Barking and Dagenham,2,1,40.120948678600996,36.007463265728475,4761.153352649007,5930.082574503312,0.1465782080120992,0.1805529952047044,0.03397478719260519,-4.113485412872521,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,364.0,73.0,644.0,647.0,1291.0,437.0,20.582494190549962,291.0,56.52173913043478,384.0,384.0,0.0,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,425.0,137.0,562.0,45.10069713400465,288.0,65.68778979907263
E02000008,Barking and Dagenham,3,1,35.57322196140694,34.4495850024426,6023.725289040873,6309.113743689953,0.18544810322766064,0.19209334257976962,0.006645239352108978,-1.1236369589643331,343.0,307.0,867,764,1631,650.0,64.56223175965665,36.0,39.561707035755475,272.0,168.0,772.0,625.0,1397.0,440.0,32.71009305654975,104.0,35.233160621761655,498.0,498.0,0.0,342.0,390.0,732.0,81.77805027590435,-48.0,44.76439790575916,339.0,352.0,691.0,85.41732283464567,-13.0,54.24
E02000009,Barking and Dagenham,4,1,29.833315936785986,36.33654626808835,8450.595773038842,5533.745811119574,0.26016242143460505,0.16848574507123293,-0.09167667636337212,6.503230331302362,278.0,386.0,795,669,1464,664.0,73.29781420765028,-108.0,34.9685534591195,202.0,296.0,768.0,704.0,1472.0,498.0,40.619565217391305,-94.0,26.302083333333332,495.0,495.0,0.0,216.0,422.0,638.0,62.26229508196721,-206.0,32.28699551569507,244.0,412.0,656.0,68.29347826086956,-168.0,34.659090909090914
E02000010,Barking and Dagenham,3,1,34.974068878011224,34.49335914640854,6262.515124848752,6119.175888241118,0.192799554363917,0.18631031202780166,-0.006489242336115336,-0.48070973160268693,210.0,236.0,632,567,1199,446.0,41.33444537114262,-26.0,33.22784810126582,203.0,170.0,526.0,507.0,1033.0,373.0,33.407550822846076,33.0,38.59315589353612,320.0,320.0,0.0,257.0,311.0,568.0,66.66138448707257,-54.0,45.326278659611994,232.0,246.0,478.0,55.24878993223621,-14.0,45.75936883629191
E02000011,Barking and Dagenham,5,4,25.7115631060494,25.713968791598873,10381.868658482474,10565.991569294483,0.31961913239586454,0.32170233739174525,0.0020832049958807164,0.002405685549472736,63.0,240.0,514,426,940,303.0,16.085106382978722,-177.0,12.2568093385214,81.0,248.0,411.0,430.0,841.0,329.0,23.885850178359096,-167.0,19.708029197080293,-117.0,103.0,220.0,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,305.0,423.0,42.794292508917955,-187.0,27.44186046511628
E02000012,Barking and Dagenham,7,6,20.320027914901456,20.632166421072018,14008.114201510407,14042.761926689998,0.4312577489535868,0.4275594302365729,-0.0036983187170139264,0.3121385061705624,29.0,467.0,608,590,1198,496.0,11.304674457429048,-438.0,4.769736842105264,22.0,420.0,526.0,619.0,1145.0,442.0,8.069868995633188,-398.0,4.182509505703422,-329.0,56.0,385.0,86.0,549.0,635.0,39.41068447412354,-463.0,14.576271186440678,88.0,373.0,461.0,28.667248908296944,-285.0,14.216478190630049
E02000013,Barking and Dagenham,2,1,37.169363155854526,36.09122608596511,5530.61076274085,5540.375783833087,0.17026694054371191,0.16868760759447954,-0.001579332949232376,-1.078137069889415,302.0,72.0,567,546,1113,374.0,19.536388140161726,230.0,53.26278659611992,336.0,81.0,620.0,488.0,1108.0,417.0,24.56317689530686,255.0,54.19354838709678,381.0,381.0,0.0,364.0,125.0,489.0,40.880503144654085,239.0,66.66666666666666,295.0,98.0,393.0,26.092057761732853,197.0,60.45081967213115
E02000014,Barking and Dagenham,2,1,36.80428719276357,36.55000135163236,5621.183198170098,5403.980453316698,0.17305532904901474,0.16453478423202708,-0.008520544816987663,-0.2542858411312068,374.0,102.0,655,625,1280,476.0,29.803125,272.0,57.099236641221374,243.0,98.0,507.0,593.0,1100.0,341.0,21.64909090909091,145.0,47.928994082840234,296.0,296.0,0.0,355.0,183.0,538.0,50.75390625,172.0,56.8,413.0,125.0,538.0,46.93181818181818,288.0,69.64586846543001
E02000015,Barking and Dagenham,1,1,44.686403556012344,39.60161035457348,3348.9655704008223,4579.518627954779,0.10310219722925998,0.13943242686502189,0.03633022963576191,-5.084793201438863,582.0,0.0,676,590,1266,582.0,0.0,582.0,86.09467455621301,366.0,0.0,460.0,414.0,874.0,366.0,0.0,366.0,79.56521739130434,316.0,316.0,0.0,525.0,0.0,525.0,0.0,525.0,88.98305084745762,345.0,0.0,345.0,0.0,345.0,83.33333333333334
E02000016,Barking and Dagenham,2,2,39.10249583342713,33.661131007315696,4886.122678671919,6443.870118176702,0.15042554887851484,0.1961962647112624,0.045770715832747555,-5.441364826111432,536.0,199.0,1006,979,1985,735.0,53.73501259445844,337.0,53.28031809145129,585.0,215.0,1268.0,1158.0,2426.0,800.0,51.84460016488046,370.0,46.13564668769716,290.0,575.0,285.0,639.0,238.0,877.0,76.61561712846347,401.0,65.27068437180796,584.0,276.0,860.0,66.44023083264634,308.0,50.431778929188255
E02000017,Barking and Dagenham,5,3,26.106807315511624,27.270586768504998,10591.714478265752,9767.275974390655,0.32607950490320037,0.2973838745095194,-0.02869563039368095,1.1637794529933743,101.0,636.0,771,920,1691,737.0,37.98698994677706,-535.0,13.09987029831388,129.0,468.0,659.0,806.0,1465.0,597.0,41.209556313993176,-339.0,19.575113808801213,-49.0,233.0,282.0,247.0,639.0,886.0,93.33707865168539,-392.0,26.847826086956523,223.0,418.0,641.0,63.62730375426621,-195.0,27.667493796526056
E02000018,Barking and Dagenham,2,1,36.84868391559941,36.41188683602772,5729.376968297292,5587.40699139198,0.17638621292707626,0.17011956495530325,-0.0062666479717730095,-0.43679707957169,423.0,112.0,810,735,1545,535.0,30.664077669902913,311.0,52.22222222222223,310.0,121.0,573.0,669.0,1242.0,431.0,30.201288244766506,189.0,54.10122164048866,380.0,380.0,0.0,478.0,198.0,676.0,61.258252427184466,280.0,65.03401360544217,436.0,133.0,569.0,46.689210950080515,303.0,65.17189835575485
E02000019,Barking and Dagenham,3,2,33.55526205091469,32.065294026890015,6825.745536698259,7112.453383292925,0.21013932444733266,0.216552593572431,0.006413269125098348,-1.4899680240246767,199.0,254.0,526,610,1136,453.0,44.49471830985915,-55.0,37.832699619771866,233.0,157.0,701.0,514.0,1215.0,390.0,30.10781893004115,76.0,33.238231098430816,153.0,299.0,146.0,306.0,265.0,571.0,71.38204225352112,41.0,50.1639344262295,256.0,315.0,571.0,66.37037037037037,-59.0,49.80544747081712
E02000020,Barking and Dagenham,4,2,31.387121680957637,33.22273172595297,7739.860769165464,6620.131420324306,0.23828153343899589,0.201562885772875,-0.036718647666120874,1.835610044995331,211.0,422.0,762,688,1450,633.0,61.40827586206897,-211.0,27.69028871391076,219.0,362.0,785.0,768.0,1553.0,581.0,51.04829362524147,-143.0,27.898089171974522,206.0,363.0,157.0,202.0,480.0,682.0,66.86896551724138,-278.0,29.360465116279073,265.0,429.0,694.0,73.20347714101739,-164.0,34.50520833333333
E02000021,Barking and Dagenham,4,2,30.253652705115,31.823478887744592,8177.414349467903,7384.894724796887,0.2517521811916724,0.2248476045791282,-0.026904576612544223,1.5698261826295905,139.0,402.0,809,670,1479,541.0,37.78093306288032,-263.0,17.18170580964153,154.0,286.0,559.0,566.0,1125.0,440.0,39.15022222222222,-132.0,27.549194991055455,65.0,252.0,187.0,201.0,585.0,786.0,79.50304259634889,-384.0,30.0,194.0,327.0,521.0,56.38933333333333,-133.0,34.275618374558306
E02000022,Barking and Dagenham,1,1,50.7461315920398,38.64612501441587,2183.2126865671644,4786.588974743398,0.06721300063318651,0.14573708971938246,0.07852408908619594,-12.10000657762393,608.0,0.0,734,694,1428,608.0,0.0,608.0,82.83378746594006,407.0,0.0,541.0,764.0,1305.0,407.0,0.0,407.0,75.23105360443623,367.0,367.0,0.0,585.0,0.0,585.0,0.0,585.0,84.29394812680115,606.0,0.0,606.0,0.0,606.0,79.31937172774869
E02000023,Barking and Dagenham,1,1,44.03431079609859,39.06830407275603,3824.193884275735,4984.5523922499015,0.1177327099401433,0.15176447424947942,0.03403176430933612,-4.966006723342559,414.0,0.0,543,528,1071,414.0,0.0,414.0,76.24309392265194,406.0,0.0,587.0,500.0,1087.0,406.0,0.0,406.0,69.16524701873935,333.0,333.0,0.0,460.0,0.0,460.0,0.0,460.0,87.12121212121212,395.0,0.0,395.0,0.0,395.0,79.0
E02000024,Barnet,10,10,9.191139407604213,9.191532295006871,25049.136417773705,25621.81291800275,0.7711697684186228,0.7801063487395794,0.008936580320956566,0.0003928874026577489,0.0,450.0,658,503,1161,450.0,0.0,-450.0,0.0,0.0,466.0,751.0,622.0,1373.0,466.0,0.0,-466.0,0.0,-472.0,0.0,472.0,0.0,603.0,603.0,0.0,-603.0,0.0,0.0,591.0,591.0,0.0,-591.0,0.0
E02000025,Barnet,8,7,16.395101943467935,15.932634441805227,17699.539073634205,18810.289311163895,0.5449029946934981,0.5727161524529258,0.02781315775942772,-0.462467501662708,199.0,207.0,655,518,1173,406.0,35.11764705882353,-8.0,30.38167938931298,178.0,173.0,679.0,499.0,1178.0,351.0,26.140916808149406,5.0,26.215022091310754,110.0,251.0,141.0,194.0,308.0,502.0,50.93947144075021,-114.0,37.45173745173745,157.0,309.0,466.0,41.18251273344652,-152.0,31.462925851703403
E02000026,Barnet,10,9,9.59189137559043,10.84753755904312,24581.720859363097,23716.44293768094,0.7567797813977926,0.7220936225088582,-0.03468615888893434,1.25564618345269,0.0,342.0,526,392,918,342.0,0.0,-342.0,0.0,0.0,221.0,435.0,312.0,747.0,221.0,0.0,-221.0,0.0,-185.0,27.0,212.0,0.0,481.0,481.0,0.0,-481.0,0.0,0.0,355.0,355.0,0.0,-355.0,0.0
E02000027,Barnet,6,5,21.486812371164728,22.828095124615235,14394.021745606196,13999.612451593684,0.44313840729038223,0.4262456598341762,-0.016892747456206003,1.341282753450507,417.0,93.0,581,552,1133,510.0,34.228596646072376,324.0,71.77280550774526,339.0,82.0,536.0,402.0,938.0,421.0,29.63539445628998,257.0,63.24626865671642,307.0,372.0,65.0,418.0,132.0,550.0,48.699029126213595,286.0,75.72463768115942,254.0,116.0,370.0,31.411513859275054,138.0,63.18407960199005
E02000028,Barnet,9,8,13.402850664825046,12.807654082259054,20663.15807243708,21322.2182320442,0.6361418038432695,0.6491967553295641,0.013054951486294653,-0.5951965825659915,105.0,288.0,551,419,970,393.0,31.175257731958762,-183.0,19.056261343012704,97.0,405.0,539.0,564.0,1103.0,502.0,35.61650045330916,-308.0,17.996289424860855,-226.0,139.0,365.0,93.0,380.0,473.0,36.43298969072165,-287.0,22.195704057279237,68.0,352.0,420.0,21.70081595648232,-284.0,12.056737588652481
E02000029,Barnet,8,7,13.833467206175186,16.010651527016446,20025.961852556215,18706.388857814072,0.6165249015625951,0.5695526993610422,-0.04697220220155285,2.17718432084126,189.0,291.0,692,595,1287,480.0,42.73426573426573,-102.0,27.3121387283237,169.0,208.0,711.0,527.0,1238.0,377.0,28.394184168012924,-39.0,23.769338959212376,135.0,276.0,141.0,209.0,371.0,580.0,60.24786324786325,-162.0,35.12605042016806,138.0,330.0,468.0,36.78513731825525,-192.0,26.185958254269448
E02000030,Barnet,9,8,12.906919255871314,13.464058337801607,21294.30294906166,21315.586809651475,0.6555724077661985,0.6489948486679903,-0.00657755909820823,0.557139081930293,87.0,348.0,560,574,1134,435.0,26.6984126984127,-261.0,15.535714285714286,39.0,313.0,561.0,481.0,1042.0,352.0,11.714971209213052,-274.0,6.951871657754011,-142.0,107.0,249.0,109.0,388.0,497.0,37.29453262786596,-279.0,18.989547038327526,46.0,342.0,388.0,15.0978886756238,-296.0,9.563409563409564
E02000031,Barnet,10,10,10.215342115209282,8.982775245199614,23850.41234977207,25850.916148639313,0.7342655116609836,0.7870818459578406,0.05281633429685695,-1.2325668700096681,0.0,439.0,647,475,1122,439.0,0.0,-439.0,0.0,0.0,385.0,642.0,472.0,1114.0,385.0,0.0,-385.0,0.0,-380.0,0.0,380.0,0.0,583.0,583.0,0.0,-583.0,0.0,0.0,543.0,543.0,0.0,-543.0,0.0
E02000032,Barnet,10,10,8.051637573985216,8.446300998573467,26446.115030475943,26468.933471663855,0.814177545424418,0.8058985955323303,-0.008278949892087661,0.3946634245882503,0.0,401.0,437,473,910,401.0,0.0,-401.0,0.0,0.0,334.0,379.0,416.0,795.0,334.0,0.0,-334.0,0.0,-382.0,0.0,382.0,0.0,391.0,391.0,0.0,-391.0,0.0,0.0,325.0,325.0,0.0,-325.0,0.0
E02000033,Barnet,7,7,18.07316382040085,17.063479789497258,16855.92240510581,18775.231664987125,0.5189311743459704,0.5716487536532433,0.052717579307272944,-1.0096840309035926,303.0,203.0,642,546,1188,506.0,51.775252525252526,100.0,47.19626168224299,225.0,187.0,520.0,511.0,1031.0,412.0,40.80989330746848,38.0,43.269230769230774,1.0,206.0,205.0,281.0,273.0,554.0,64.57323232323232,8.0,51.46520146520146,228.0,180.0,408.0,39.80601357904947,48.0,44.61839530332681
