msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt
E02000001,City of London,9,8,10.7001903992737,14.720484223119485,876.0,712.0,0.8920570264765784,0.725050916496945,-0.1670061099796334,4.020293823845785,30.0,783.0,692,857,1549,813.0,15.164622336991608,-753.0,4.335260115606936,28.0,901.0,1206,979,2185,929.0,11.545995423340962,-873.0,2.321724709784411,24.0,615.0,639.0,9.528728211749517,-591.0,2.8004667444574096,8.0,1096.0,1104.0,4.012814645308924,-1088.0,0.8171603677221655,-637.0,141.0,778.0
E02000002,Barking and Dagenham,1,1,43.42144398081181,34.76755983195555,83.0,83.0,0.0845213849287169,0.0845213849287169,0.0,-8.653884148856257,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,351.0,0.0,413,360,773,351.0,0.0,351.0,84.98789346246973,344.0,0.0,344.0,0.0,344.0,87.0886075949367,309.0,0.0,309.0,0.0,309.0,85.83333333333333,319.0,319.0,0.0
E02000003,Barking and Dagenham,5,4,25.643614588352413,25.149725932835818,458.0,354.0,0.4663951120162933,0.3604887983706721,-0.1059063136456212,-0.4938886555165958,229.0,380.0,738,669,1407,609.0,61.84790334044065,-151.0,31.029810298102984,249.0,362.0,759,728,1487,611.0,60.61735036987223,-113.0,32.80632411067194,244.0,470.0,714.0,81.50675195451315,-226.0,36.47234678624813,332.0,478.0,810.0,106.72225958305313,-146.0,45.604395604395606,-8.0,302.0,310.0
E02000004,Barking and Dagenham,6,5,22.60185641216435,23.560044369645045,546.0,400.0,0.5560081466395111,0.4073319755600815,-0.14867617107942965,0.9581879574806962,120.0,133.0,447,256,703,253.0,22.7027027027027,-13.0,26.845637583892618,112.0,129.0,446,308,754,241.0,19.161803713527853,-17.0,25.112107623318387,111.0,295.0,406.0,46.578947368421055,-184.0,43.359375,165.0,301.0,466.0,65.86870026525199,-136.0,53.57142857142857,18.0,143.0,125.0
E02000005,Barking and Dagenham,4,3,32.39406328077552,30.212965379205887,300.0,198.0,0.3054989816700611,0.20162932790224034,-0.10386965376782079,-2.1810979015696326,212.0,274.0,661,523,1184,486.0,49.060810810810814,-62.0,32.07261724659607,273.0,207.0,700,539,1239,480.0,45.610169491525426,66.0,39.0,178.0,395.0,573.0,59.383445945945944,-217.0,34.03441682600382,283.0,339.0,622.0,77.43099273607749,-56.0,52.50463821892394,106.0,310.0,204.0
E02000007,Barking and Dagenham,2,1,40.31009679672392,36.007463265728475,129.0,63.0,0.13136456211812628,0.06415478615071284,-0.06720977596741344,-4.302633530995443,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,380.0,82.0,628,630,1258,462.0,24.76947535771065,298.0,60.509554140127385,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,436.0,138.0,574.0,47.828298887122415,298.0,69.2063492063492,404.0,404.0,0.0
E02000008,Barking and Dagenham,3,1,35.556605736018675,34.4495850024426,210.0,92.0,0.21384928716904278,0.09368635437881874,-0.12016293279022404,-1.1070207335760713,343.0,309.0,867,764,1631,652.0,64.98283261802575,34.0,39.561707035755475,290.0,172.0,753,604,1357,462.0,36.757553426676495,118.0,38.51261620185923,343.0,390.0,733.0,82.01716738197425,-47.0,44.89528795811518,354.0,356.0,710.0,92.8695652173913,-2.0,58.609271523178805,522.0,522.0,0.0
E02000009,Barking and Dagenham,4,1,30.95492824538416,36.33654626808835,341.0,57.0,0.34725050916496947,0.05804480651731161,-0.2892057026476579,5.381618022704188,284.0,385.0,795,669,1464,669.0,74.68579234972678,-101.0,35.72327044025157,214.0,303.0,729,663,1392,517.0,46.581896551724135,-89.0,29.35528120713306,221.0,422.0,643.0,63.70355191256831,-201.0,33.03437967115097,268.0,424.0,692.0,81.63218390804597,-156.0,40.42232277526395,532.0,532.0,0.0
E02000010,Barking and Dagenham,3,1,35.01250658502612,34.49335914640853,228.0,89.0,0.23217922606924643,0.09063136456211812,-0.1415478615071283,-0.5191474386175869,213.0,236.0,632,567,1199,449.0,41.924937447873226,-23.0,33.70253164556962,223.0,166.0,522,487,1009,389.0,36.68780971258672,57.0,42.72030651340996,258.0,312.0,570.0,67.13594662218516,-54.0,45.5026455026455,235.0,245.0,480.0,57.06144697720515,-10.0,48.25462012320328,341.0,341.0,0.0
E02000011,Barking and Dagenham,5,4,25.696449993534834,25.713968791598877,454.0,339.0,0.4623217922606925,0.34521384928716903,-0.11710794297352345,0.01751879806404233,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,79.0,248.0,413,429,842,327.0,23.268408551068884,-169.0,19.128329297820823,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,314.0,432.0,44.00475059382423,-196.0,27.505827505827508,-124.0,112.0,236.0
