msoa11cd,ladnm,Wealth_Decile,Wealth_Decile_2019,IMD_2010,IMD_2019,IMD_Rank_2010,IMD_Rank_2019,IMD_Pctile_2010,IMD_Pctile_2019,IMD_Pctile_Change,IMD_Score_Change,Inflow_Wealthier_11,Outflow_Poorer_11,Total_Inflow_11,Total_Outflow_11,Total_Migration_11,CFI_Churn_11,CFI_Rate_11,Net_Cascade_11,Pct_Inflow_Wealthier_11,Inflow_Wealthier_21,Outflow_Poorer_21,Total_Inflow_21,Total_Outflow_21,Total_Migration_21,CFI_Churn_21,CFI_Rate_21,Net_Cascade_21,Pct_Inflow_Wealthier_21,Outflow_Wealthier_11,Inflow_Poorer_11,Counter_Churn_11,Counter_Rate_11,Net_Counter_11,Pct_Outflow_Wealthier_11,Outflow_Wealthier_21,Inflow_Poorer_21,Counter_Churn_21,Counter_Rate_21,Net_Counter_21,Pct_Outflow_Wealthier_21,Net_Cascade_21_alt,Inflow_Wealthier_21_alt,Outflow_Poorer_21_alt,Delta_Net_Cascade,Delta_CFI_Churn,Delta_CFI_Rate,Delta_Pct_Inflow_Wealthier,Delta_Net_Counter,Delta_Counter_Churn,Delta_Counter_Rate,Delta_Pct_Outflow_Wealthier,Cascade_Dominance_11,Cross_Decile_Share_11,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_11,Sign_Concordance_21,Delta_Cascade_Dominance,Delta_Cross_Decile_Share,Wealth_Decile_National,Inflow_Wealthier_nat_11,Outflow_Poorer_nat_11,Outflow_Wealthier_nat_11,Inflow_Poorer_nat_11,Total_Inflow_nat_11,Total_Outflow_nat_11,Ext_Inflow_nat_11,Ext_Outflow_nat_11,Total_Migration_nat_11,CFI_Churn_nat_11,CFI_Rate_nat_11,Net_Cascade_nat_11,Pct_Inflow_Wealthier_nat_11,Counter_Churn_nat_11,Counter_Rate_nat_11,Net_Counter_nat_11,Cascade_Dominance_nat_11,Ext_Net_nat_11,Inflow_Wealthier_nat_21,Outflow_Poorer_nat_21,Outflow_Wealthier_nat_21,Inflow_Poorer_nat_21,Total_Inflow_nat_21,Total_Outflow_nat_21,Ext_Inflow_nat_21,Ext_Outflow_nat_21,Total_Migration_nat_21,CFI_Churn_nat_21,CFI_Rate_nat_21,Net_Cascade_nat_21,Pct_Inflow_Wealthier_nat_21,Counter_Churn_nat_21,Counter_Rate_nat_21,Net_Counter_nat_21,Cascade_Dominance_nat_21,Ext_Net_nat_21
E02000001,City of London,9,8,10.7001903992737,14.720484223119485,877.0,713.0,0.8921668362156663,0.7253306205493387,-0.1668362156663275,4.020293823845785,30.0,783.0,692,857,1549,813.0,15.164622336991608,-753.0,4.335260115606936,28.0,789.0,1120.0,867.0,1987.0,817.0,11.118268746854554,-761.0,2.5,24.0,615.0,639.0,9.528728211749517,-591.0,2.8004667444574096,8.0,1010.0,1018.0,4.066431806743835,-1002.0,0.922722029988466,-525.0,141.0,666.0,-8.0,4.0,-4.046353590137054,-1.8352601156069364,-411.0,379.0,-5.462296405005682,-1.8777447144689436,0.5599173553719008,0.9373789541639768,0.4452316076294278,0.9235027679919476,concordant,concordant,-0.1146857477424729,-0.0138761861720291,8,27,1120,20,1129,1185,1175,493,318,2360,1147,12.813559322033898,-1093,2.278481012658228,1149,9.567796610169491,-1109,0.49956445993031356,175,27,1340,5,1510,1576,1387,456,520,2963,1367,12.210597367532905,-1313,1.7131979695431472,1515,2.5480931488356395,-1505,0.47432338653712697,-64
E02000002,Barking and Dagenham,1,1,43.42144398081181,34.76755983195555,83.0,83.0,0.0844354018311292,0.0844354018311292,0.0,-8.653884148856257,497.0,0.0,581,395,976,497.0,0.0,497.0,85.54216867469879,340.0,0.0,402.0,347.0,749.0,340.0,0.0,340.0,84.5771144278607,344.0,0.0,344.0,0.0,344.0,87.0886075949367,300.0,0.0,300.0,0.0,300.0,86.45533141210375,308.0,308.0,0.0,-157.0,-157.0,0.0,-0.9650542468380792,-44.0,-44.0,0.0,-0.6332761828329581,0.5909631391200951,0.8616803278688525,0.53125,0.8544726301735648,concordant,concordant,-0.0597131391200951,-0.0072076976952877,1,539,0,477,0,630,528,49,133,1158,539,0.0,539,85.55555555555556,477,0.0,477,0.530511811023622,-84,405,0,539,0,473,589,71,242,1062,405,0.0,405,85.62367864693447,539,0.0,539,0.4290254237288136,-171
E02000003,Barking and Dagenham,5,4,25.643614588352413,25.149725932835818,459.0,354.0,0.4669379450661241,0.3601220752797558,-0.1068158697863682,-0.4938886555165958,229.0,380.0,738,669,1407,609.0,61.84790334044065,-151.0,31.029810298102984,210.0,332.0,695.0,674.0,1369.0,542.0,50.927684441197954,-122.0,30.215827338129497,244.0,470.0,714.0,81.50675195451315,-226.0,36.47234678624813,308.0,453.0,761.0,101.91672753834916,-145.0,45.6973293768546,-59.0,243.0,302.0,29.0,-67.0,-10.920218899242698,-0.8139829599734867,81.0,47.0,20.409975583836015,9.224982590606466,0.4603174603174603,0.9402985074626866,0.4159631619339984,0.9517896274653032,concordant,concordant,-0.0443542983834618,0.0114911200026165,4,296,405,391,481,858,882,120,213,1740,701,68.89655172413794,-109,34.4988344988345,872,108.0867816091954,-90,0.445645263827082,-93,289,346,706,465,856,1143,161,469,1999,635,50.022011005502755,-57,33.76168224299065,1171,164.2271135567784,241,0.35160575858250276,-308
E02000004,Barking and Dagenham,6,5,22.60185641216435,23.560044369645045,547.0,400.0,0.5564598168870803,0.4069175991861648,-0.1495422177009155,0.9581879574806962,120.0,133.0,447,256,703,253.0,22.7027027027027,-13.0,26.845637583892614,105.0,127.0,437.0,303.0,740.0,232.0,18.02027027027027,-22.0,24.02745995423341,111.0,295.0,406.0,46.578947368421055,-184.0,43.359375,164.0,299.0,463.0,66.26486486486486,-135.0,54.12541254125413,12.0,136.0,124.0,-9.0,-21.0,-4.682432432432432,-2.8181776296592034,49.0,57.0,19.685917496443807,10.766037541254128,0.3839150227617602,0.937411095305832,0.3338129496402878,0.9391891891891893,concordant,concordant,-0.0501020731214724,0.001778093883357,4,188,121,255,261,515,396,68,140,911,309,24.970362239297476,67,36.50485436893204,516,73.05708013172338,-6,0.37454545454545457,-72,193,120,404,263,512,542,75,239,1054,313,21.973434535104364,73,37.6953125,667,100.80834914611006,141,0.3193877551020408,-164
E02000005,Barking and Dagenham,4,3,32.39406328077552,30.212965379205887,300.0,198.0,0.3051881993896236,0.2014242115971515,-0.103763987792472,-2.181097901569633,212.0,274.0,661,523,1184,486.0,49.060810810810814,-62.0,32.07261724659607,248.0,198.0,668.0,514.0,1182.0,446.0,41.54314720812183,50.0,37.12574850299401,178.0,395.0,573.0,59.383445945945944,-217.0,34.03441682600382,268.0,338.0,606.0,76.63620981387479,-70.0,52.14007782101168,117.0,317.0,200.0,112.0,-40.0,-7.517663602688984,5.05313125639794,147.0,33.0,17.25276386792884,18.10566099500786,0.4589235127478753,0.8944256756756757,0.4239543726235741,0.8900169204737732,concordant,divergent,-0.0349691401243011,-0.0044087552019024,3,263,274,397,389,724,753,63,230,1477,537,48.78943805010156,-11,36.32596685082873,786,104.55856465809073,8,0.40589569160997735,-167,331,195,641,326,792,924,124,410,1716,526,37.61363636363637,136,41.792929292929294,967,121.77505827505827,315,0.3523107836570663,-286
E02000007,Barking and Dagenham,2,1,40.31009679672392,36.007463265728475,129.0,63.0,0.1312309257375381,0.0640895218718209,-0.0671414038657171,-4.302633530995443,514.0,115.0,890,551,1441,629.0,41.02012491325468,399.0,57.752808988764045,362.0,73.0,607.0,610.0,1217.0,435.0,21.71405094494659,289.0,59.637561779242176,352.0,162.0,514.0,39.57251908396947,190.0,63.883847549909255,425.0,137.0,562.0,47.8430566967954,288.0,69.67213114754098,384.0,384.0,0.0,-110.0,-194.0,-19.306073968308095,1.8847527904781316,98.0,48.0,8.270537612825933,5.788283597631725,0.5503062117235346,0.7931991672449688,0.436308926780341,0.819227608874281,concordant,concordant,-0.1139972849431935,0.0260284416293122,2,483,122,501,170,1019,785,129,234,1804,605,32.66407982261641,361,47.399411187438666,671,47.211751662971174,331,0.47413793103448276,-105,376,76,679,141,722,950,115,340,1672,452,17.09090909090909,300,52.07756232686981,820,57.26016746411483,538,0.3553459119496855,-225
E02000008,Barking and Dagenham,3,1,35.556605736018675,34.4495850024426,210.0,92.0,0.2136317395727365,0.0935910478128179,-0.1200406917599186,-1.1070207335760711,343.0,309.0,867,764,1631,652.0,64.98283261802575,34.0,39.561707035755475,272.0,167.0,728.0,581.0,1309.0,439.0,34.701298701298704,105.0,37.362637362637365,343.0,390.0,733.0,82.01716738197425,-47.0,44.89528795811518,339.0,349.0,688.0,90.38273491214667,-10.0,58.34767641996558,498.0,498.0,0.0,71.0,-213.0,-30.28153391672705,-2.1990696731181103,37.0,-45.0,8.365567530172427,13.452388461850395,0.4707581227436823,0.8491722869405273,0.3895297249334516,0.8609625668449198,divergent,divergent,-0.0812283978102306,0.0117902799043925,2,449,130,665,164,967,1082,100,318,2049,579,28.487066861883847,319,46.43226473629783,829,53.225963884821866,501,0.4112215909090909,-218,390,66,822,152,843,1063,115,482,1906,456,13.504721930745015,324,46.263345195729535,974,65.55299055613851,670,0.31888111888111886,-367
E02000009,Barking and Dagenham,4,1,30.95492824538416,36.33654626808835,341.0,57.0,0.3468972533062054,0.0579857578840284,-0.288911495422177,5.381618022704188,284.0,385.0,795,669,1464,669.0,74.68579234972678,-101.0,35.72327044025157,204.0,295.0,691.0,627.0,1318.0,499.0,45.66009104704097,-91.0,29.52243125904486,221.0,422.0,643.0,63.70355191256831,-201.0,33.03437967115097,248.0,412.0,660.0,77.52352048558421,-164.0,39.55342902711323,495.0,495.0,0.0,10.0,-170.0,-29.02570130268581,-6.200839181206707,37.0,17.0,13.819968573015906,6.5190493559622595,0.5099085365853658,0.8961748633879781,0.4305435720448662,0.8793626707132018,concordant,concordant,-0.0793649645404995,-0.0168121926747762,3,389,385,391,416,917,851,122,182,1768,774,84.70871040723982,4,42.420937840785164,807,92.0,-25,0.48956356736242884,-60,374,292,688,404,869,1078,178,451,1947,666,56.090395480225986,82,43.037974683544306,1092,142.75911658962505,284,0.378839590443686,-273
E02000010,Barking and Dagenham,3,1,35.01250658502612,34.49335914640853,228.0,89.0,0.2319430315361139,0.0905391658189216,-0.1414038657171922,-0.5191474386175869,213.0,236.0,632,567,1199,449.0,41.924937447873226,-23.0,33.70253164556962,203.0,165.0,501.0,482.0,983.0,368.0,34.074262461851475,38.0,40.5189620758483,258.0,312.0,570.0,67.13594662218516,-54.0,45.5026455026455,232.0,245.0,477.0,57.82299084435402,-13.0,48.13278008298755,320.0,320.0,0.0,61.0,-81.0,-7.850674986021751,6.816430430278679,41.0,-93.0,-9.312955777831142,2.6301345803420517,0.4406280667320902,0.8498748957464554,0.4355029585798816,0.8596134282807731,concordant,divergent,-0.0051251081522086,0.0097385325343177,2,298,98,455,150,712,764,80,197,1476,396,19.78590785907859,200,41.853932584269664,605,46.239837398373986,305,0.3956043956043956,-117,331,77,595,115,620,835,119,353,1455,408,17.51683848797251,254,53.387096774193544,710,47.02749140893471,480,0.36493738819320215,-234
E02000011,Barking and Dagenham,5,4,25.69644999353483,25.713968791598877,455.0,340.0,0.4628687690742624,0.34587995930824,-0.1169888097660223,0.0175187980640423,63.0,234.0,514,426,940,297.0,15.682978723404256,-171.0,12.2568093385214,79.0,242.0,404.0,423.0,827.0,321.0,23.117291414752117,-163.0,19.554455445544555,166.0,436.0,602.0,76.99574468085106,-270.0,38.967136150234744,118.0,305.0,423.0,43.518742442563486,-187.0,27.89598108747045,-117.0,103.0,220.0,8.0,24.0,7.434312691347861,7.297646107023155,83.0,-179.0,-33.477002238287575,-11.071155062764294,0.3303670745272525,0.9563829787234044,0.4314516129032258,0.8996372430471584,concordant,concordant,0.1010845383759733,-0.0567457356762458,4,99,246,321,444,572,623,58,197,1195,345,20.379916317991633,-147,17.307692307692307,765,119.26694560669456,-123,0.3108108108108108,-139,121,265,331,314,464,664,60,241,1128,386,28.42641843971631,-144,26.07758620689655,645,92.14007092198581,17,0.3743937924345296,-181
