msoa11cd,ladnm,Wealth_Decile,IMD_Pctile_Change,Typology_11,Cascade_Dominance_11,Cross_Decile_Share_11,Sign_Concordance_11,Typology_21,Cascade_Dominance_21,Cross_Decile_Share_21,Sign_Concordance_21
E02000001,City of London,9,-0.1670061099796334,Cascade-led,0.5599173553719008,0.9373789541639768,concordant,Counter-led,0.4569601574028529,0.9304347826086956,concordant
E02000002,Barking and Dagenham,1,0.0,Cascade-led,0.5909631391200951,0.8616803278688525,concordant,Cascade-led,0.5318181818181819,0.8538163001293662,concordant
E02000003,Barking and Dagenham,5,-0.1059063136456212,Counter-led,0.4603174603174603,0.9402985074626866,concordant,Counter-led,0.4299788881069669,0.9556153328850032,concordant
E02000004,Barking and Dagenham,6,-0.1486761710794296,Counter-led,0.3839150227617602,0.937411095305832,concordant,Counter-led,0.3408769448373409,0.9376657824933688,concordant
E02000005,Barking and Dagenham,4,-0.1038696537678207,Counter-led,0.4589235127478753,0.8944256756756757,concordant,Counter-led,0.4355716878402904,0.8894269572235673,divergent
E02000007,Barking and Dagenham,2,-0.0672097759674134,Cascade-led,0.5503062117235346,0.7931991672449688,concordant,Counter-led,0.4459459459459459,0.8235294117647058,concordant
E02000008,Barking and Dagenham,3,-0.120162932790224,Counter-led,0.4707581227436823,0.8491722869405273,divergent,Counter-led,0.39419795221843,0.8636698599852616,divergent
E02000009,Barking and Dagenham,4,-0.2892057026476579,Symmetric,0.5099085365853658,0.8961748633879781,concordant,Counter-led,0.4276261373035566,0.8685344827586207,concordant
E02000010,Barking and Dagenham,3,-0.1415478615071283,Counter-led,0.4406280667320902,0.8498748957464554,concordant,Counter-led,0.4476409666283084,0.8612487611496531,divergent
E02000011,Barking and Dagenham,5,-0.1171079429735234,Counter-led,0.3303670745272525,0.9563829787234044,concordant,Counter-led,0.4308300395256917,0.9014251781472684,concordant
E02000012,Barking and Dagenham,7,-0.0967413441955192,Counter-led,0.4385499557913351,0.9440734557595992,concordant,Symmetric,0.4893617021276595,0.9215686274509804,concordant
E02000013,Barking and Dagenham,2,-0.1232179226069246,Lateral,0.4353348729792148,0.7780772686433064,concordant,Symmetric,0.5194805194805194,0.7990566037735849,concordant
E02000014,Barking and Dagenham,2,-0.1395112016293279,Counter-led,0.4709931170108161,0.79453125,concordant,Counter-led,0.4021739130434782,0.8141592920353983,concordant
E02000015,Barking and Dagenham,1,-0.0488798370672097,Cascade-led,0.5257452574525745,0.8744075829383886,concordant,Symmetric,0.5179063360881543,0.825938566552901,concordant
E02000016,Barking and Dagenham,2,-0.0448065173116089,Counter-led,0.4562926224426534,0.8125944584382871,concordant,Symmetric,0.4886104783599089,0.8330170777988615,concordant
E02000017,Barking and Dagenham,5,-0.1547861507128309,Counter-led,0.4537554314090627,0.9526907155529272,concordant,Counter-led,0.4734001542020046,0.9564896755162242,concordant
E02000018,Barking and Dagenham,2,-0.130346232179226,Counter-led,0.4417836498761354,0.7838187702265372,concordant,Counter-led,0.4367816091954023,0.8272583201267829,concordant
E02000019,Barking and Dagenham,3,-0.1232179226069246,Counter-led,0.4423828125,0.9014084507042254,divergent,Counter-led,0.4034552845528455,0.8490077653149266,divergent
E02000020,Barking and Dagenham,4,-0.2006109979633401,Symmetric,0.4814253222137983,0.9096551724137932,concordant,Counter-led,0.4682890855457227,0.904603068712475,concordant
E02000021,Barking and Dagenham,4,-0.2016293279022403,Counter-led,0.4088522130532633,0.9012846517917512,concordant,Counter-led,0.4601412714429869,0.9083409715857012,concordant
E02000022,Barking and Dagenham,1,0.0234215885947046,Symmetric,0.509639564124057,0.8354341736694678,concordant,Counter-led,0.4,0.84,concordant
E02000023,Barking and Dagenham,1,-0.0264765784114053,Counter-led,0.4736842105263157,0.8160597572362278,concordant,Symmetric,0.5067155067155067,0.7974683544303798,concordant
E02000024,Barnet,10,-0.0295315682281059,Counter-led,0.4273504273504273,0.9069767441860463,concordant,Counter-led,0.4383177570093458,0.924006908462867,concordant
E02000025,Barnet,8,-0.0580448065173115,Lateral,0.4471365638766519,0.7740835464620631,concordant,Lateral,0.4299287410926365,0.7818012999071495,concordant
E02000026,Barnet,10,-0.0702647657841141,Counter-led,0.4155528554070474,0.8965141612200436,concordant,Counter-led,0.3827993254637437,0.8798219584569733,concordant
E02000027,Barnet,6,-0.1486761710794297,Symmetric,0.4806421152030217,0.9346866725507502,concordant,Cascade-led,0.5301507537688442,0.9128440366972476,concordant
E02000028,Barnet,9,-0.0285132382892057,Counter-led,0.4550691244239631,0.8948453608247423,concordant,Cascade-led,0.5440860215053763,0.9073170731707316,concordant
E02000029,Barnet,8,-0.1242362525458248,Counter-led,0.4528301886792453,0.8236208236208237,concordant,Lateral,0.4480369515011547,0.7725245316681534,concordant
E02000030,Barnet,9,-0.0641547861507128,Counter-led,0.4667381974248927,0.8218694885361552,concordant,Counter-led,0.4776902887139108,0.8211206896551724,concordant
E02000031,Barnet,10,0.0101832993890019,Counter-led,0.4289911851126347,0.9099821746880572,concordant,Counter-led,0.4177083333333333,0.9302325581395348,concordant
E02000032,Barnet,10,-0.0264765784114052,Symmetric,0.5050377833753149,0.8725274725274725,concordant,Symmetric,0.5074626865671642,0.8589743589743589,concordant
E02000033,Barnet,7,-0.0437881873727088,Counter-led,0.4773584905660377,0.8922558922558923,concordant,Symmetric,0.4935217903415783,0.8680981595092024,concordant
E02000034,Barnet,8,0.015274949083503,Lateral,0.4522019334049409,0.6770909090909091,concordant,Lateral,0.4855305466237942,0.7283372365339579,concordant
E02000035,Barnet,8,-0.0305498981670061,Lateral,0.4943917169974116,0.7284726587052168,concordant,Lateral,0.4497854077253219,0.7520981278244029,concordant
E02000036,Barnet,8,-0.0570264765784114,Counter-led,0.4564102564102564,0.8008213552361396,concordant,Lateral,0.4458380843785632,0.7761061946902655,concordant
E02000037,Barnet,8,0.0875763747454175,Symmetric,0.4837728194726166,0.7875399361022364,concordant,Lateral,0.4804469273743016,0.7389060887512899,concordant
E02000038,Barnet,8,-0.0641547861507128,Lateral,0.4673366834170854,0.7637061403508771,concordant,Lateral,0.436429215509468,0.7882018479033405,concordant
E02000039,Barnet,9,-0.0336048879837067,Lateral,0.5263852242744064,0.782249742002064,concordant,Counter-led,0.4174041297935103,0.7929824561403509,concordant
E02000040,Barnet,7,0.0173116089613034,Cascade-led,0.523102310231023,0.8924889543446245,concordant,Counter-led,0.4516423357664234,0.9028006589785832,divergent
E02000041,Barnet,7,-0.0987780040733197,Symmetric,0.5008130081300813,0.9037472446730346,divergent,Cascade-led,0.5303643724696356,0.8561525129982669,divergent
E02000042,Barnet,8,-0.0234215885947046,Lateral,0.4660514172709294,0.7065673032137867,concordant,Lateral,0.4182194616977225,0.7329286798179059,concordant
E02000043,Barnet,10,0.005091649694501,Symmetric,0.4939130434782608,0.9244372990353698,concordant,Symmetric,0.4886240520043337,0.9447287615148412,concordant
E02000044,Barnet,6,-0.1456211812627291,Symmetric,0.4896373056994819,0.8846447669977082,concordant,Counter-led,0.447576099210823,0.892354124748491,concordant
E02000045,Barnet,6,-0.0346232179226069,Symmetric,0.501358695652174,0.9097651421508036,concordant,Counter-led,0.4347826086956521,0.9028925619834712,concordant
E02000046,Barnet,8,0.010183299389002,Lateral,0.5045567522783762,0.7404907975460123,concordant,Symmetric,0.4887966804979253,0.8044058744993324,concordant
E02000047,Barnet,5,-0.1069246435845213,Counter-led,0.4556179775280899,0.892678034102307,concordant,Counter-led,0.4527363184079602,0.8481012658227848,concordant
