msoa11cd,ladnm,Ring,Wealth_Decile,Wealth_Decile_National,IMD_Pctile_Change,Phase2_Extreme,Cascade_Extreme_Persist,Suppressed_11,Suppressed_21,Dom_A_11,CDS_A_11,Typ_A_11,Dom_B_11,CDS_B_11,Typ_B_11,Dom_C_11,CDS_C_11,Typ_C_11,switch_A2B_11,switch_B2C_11,switch_A2C_11,Extreme_Dir_11,Casc_Inflow_Share_11,Counter_Inflow_Share_11,Ext_Share_11,Dom_A_21,CDS_A_21,Typ_A_21,Dom_B_21,CDS_B_21,Typ_B_21,Dom_C_21,CDS_C_21,Typ_C_21,switch_A2B_21,switch_B2C_21,switch_A2C_21,Extreme_Dir_21,Casc_Inflow_Share_21,Counter_Inflow_Share_21,Ext_Share_21,yee_modal,modal_confidence,has_gen,YeeDiv
E02000001,City of London,Inner,9,8,-0.1670061099796334,False,False,False,False,0.5599173553719008,0.9373789541639768,Cascade-led,0.5582491582491582,0.9586830213040672,Cascade-led,0.4995644599303135,0.9728813559322034,Symmetric,False,True,True,,0.023539668700959,0.9825935596170584,0.3436440677966101,0.4569601574028529,0.9304347826086956,Counter-led,0.4557984790874524,0.962929061784897,Counter-led,0.4743233865371269,0.9726628417144786,Counter-led,False,False,False,,0.0197512801755669,0.9966996699669968,0.2625717178535268,STB,1.0,False,Neither
E02000002,Barking and Dagenham,Outer,1,1,0.0,False,False,False,False,0.5909631391200951,0.8616803278688525,Cascade-led,0.5875299760191847,0.8545081967213115,Cascade-led,0.530511811023622,0.8773747841105354,Cascade-led,False,False,False,,1.0,0.0,0.157167530224525,0.5318181818181819,0.8538163001293662,Cascade-led,0.5292307692307693,0.8408796895213454,Cascade-led,0.43024494142705,0.884180790960452,Counter-led,False,True,True,,1.0,0.0,0.2721280602636535,STB,0.75,False,"Flow-only: cascade, no Yee-GEN"
E02000003,Barking and Dagenham,Outer,5,4,-0.1059063136456212,False,False,False,False,0.4603174603174603,0.9402985074626866,Counter-led,0.4685483870967742,0.8813077469793887,Counter-led,0.445645263827082,0.9040229885057472,Counter-led,False,False,False,,0.4222539229671897,0.551605504587156,0.1913793103448275,0.4299788881069669,0.9556153328850032,Counter-led,0.419629057187017,0.8702084734364492,Counter-led,0.35437430786268,0.9034517258629314,Counter-led,False,False,False,,0.4125,0.4202401372212693,0.256128064032016,STB,0.8333333333333334,False,Neither
E02000004,Barking and Dagenham,Outer,6,4,-0.1486761710794296,True,False,False,False,0.3839150227617602,0.937411095305832,Counter-led,0.3905996758508914,0.8776671408250356,Counter-led,0.3745454545454545,0.9055982436882548,Counter-led,False,False,False,Counter,0.6084142394822006,0.5058139534883721,0.2283205268935236,0.3408769448373409,0.9376657824933688,Counter-led,0.3643067846607669,0.8992042440318302,Counter-led,0.320040899795501,0.9278937381404174,Counter-led,False,False,False,Counter,0.610223642172524,0.3984962406015037,0.2846299810246679,STB,0.75,False,Neither
E02000005,Barking and Dagenham,Outer,4,3,-0.1038696537678207,False,False,False,False,0.4589235127478753,0.8944256756756757,Counter-led,0.4601941747572815,0.8699324324324325,Counter-led,0.4058956916099773,0.8957345971563981,Counter-led,False,False,False,,0.4897579143389199,0.494910941475827,0.1983750846310088,0.4355716878402904,0.8894269572235673,Counter-led,0.4321110009910803,0.814366424535916,Counter-led,0.3553162853297443,0.865967365967366,Counter-led,False,False,False,,0.6136363636363636,0.3413361169102296,0.2779720279720279,STB,1.0,False,Neither
E02000007,Barking and Dagenham,Outer,2,2,-0.0672097759674134,False,False,False,False,0.5503062117235346,0.7931991672449688,Cascade-led,0.5213581599123768,0.6335877862595419,Lateral,0.4741379310344827,0.7073170731707317,Lateral,True,False,True,,0.7983471074380165,0.2533532041728763,0.2012195121951219,0.4459459459459459,0.8235294117647058,Counter-led,0.4252336448598131,0.6804451510333863,Lateral,0.3606299212598425,0.7595693779904307,Lateral,True,False,True,,0.8144104803493449,0.1761083743842364,0.2476076555023923,STB,1.0,False,Neither
E02000008,Barking and Dagenham,Outer,3,2,-0.120162932790224,False,False,False,False,0.4707581227436823,0.8491722869405273,Counter-led,0.4838383838383838,0.6069895769466584,Lateral,0.4112215909090909,0.6871644704734017,Lateral,True,False,True,,0.7754749568221071,0.1978287092882991,0.2040019521717911,0.39419795221843,0.8636698599852616,Counter-led,0.4150513112884835,0.6462785556374355,Lateral,0.3183730715287517,0.7481636935991606,Lateral,True,False,True,,0.8436123348017621,0.1625514403292181,0.2880377754459601,STB,1.0,False,Neither
E02000009,Barking and Dagenham,Outer,4,3,-0.2892057026476579,False,False,False,False,0.5099085365853658,0.8961748633879781,Symmetric,0.5124804992199687,0.8756830601092896,Symmetric,0.4911727616645649,0.8970588235294118,Symmetric,False,False,False,,0.5057766367137355,0.5154894671623296,0.171945701357466,0.4276261373035566,0.8685344827586207,Counter-led,0.4299065420560747,0.8455459770114943,Counter-led,0.3729792147806005,0.8895737031330252,Counter-led,False,False,False,,0.5356037151702786,0.3830570902394107,0.2850539291217257,STB,1.0,False,Neither
E02000010,Barking and Dagenham,Outer,3,2,-0.1415478615071283,False,False,False,False,0.4406280667320902,0.8498748957464554,Counter-led,0.43646408839779,0.603836530442035,Lateral,0.3956043956043956,0.6781842818428184,Lateral,True,False,True,,0.7525252525252525,0.2479338842975206,0.1876693766937669,0.4476409666283084,0.8612487611496531,Counter-led,0.4626865671641791,0.66402378592666,Lateral,0.3655913978494624,0.7670103092783506,Lateral,True,False,True,,0.8088235294117647,0.1624293785310734,0.3065292096219931,STB,1.0,False,Neither
E02000011,Barking and Dagenham,Outer,5,4,-0.1171079429735234,True,False,False,False,0.3303670745272525,0.9563829787234044,Counter-led,0.335672514619883,0.9095744680851064,Counter-led,0.3108108108108108,0.9288702928870292,Counter-led,False,False,False,Counter,0.2869565217391304,0.5803921568627451,0.2133891213389121,0.4308300395256917,0.9014251781472684,Counter-led,0.4456375838926174,0.8847980997624703,Counter-led,0.3714839961202715,0.9140070921985816,Counter-led,False,False,False,,0.2924281984334204,0.4984567901234568,0.2535460992907801,STB,1.0,False,Neither
